Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,Year
NOR,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:31.513000,0 days 00:00:28.419000,0 days 00:00:31.119000,0 days 00:00:28.885000,310.0,307.0,305.0,290.0,9.0,0.0,29.3,41.0,42.8,0.6,332,1,2023
NOR,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:27.575000,0 days 00:00:28.537000,0 days 00:00:30.360000,0 days 00:00:28.678000,315.0,313.0,307.0,311.0,8.0,91.662,29.2,41.0,42.5,1.5,4,1,2023
NOR,3.0,1.0,MEDIUM,3.0,True,0 days 00:01:27.105000,0 days 00:00:28.693000,0 days 00:00:29.848000,0 days 00:00:28.564000,310.0,322.0,307.0,293.0,8.0,179.237,29.2,40.0,43.1,1.0,189,1,2023
NOR,4.0,1.0,MEDIUM,4.0,False,0 days 00:01:27.069000,0 days 00:00:28.445000,0 days 00:00:29.988000,0 days 00:00:28.636000,309.0,316.0,308.0,312.0,8.0,266.342,29.4,39.0,43.2,1.3,23,1,2023
NOR,5.0,1.0,MEDIUM,5.0,False,0 days 00:01:27.142000,0 days 00:00:28.562000,0 days 00:00:29.982000,0 days 00:00:28.598000,311.0,312.0,307.0,307.0,8.0,353.411,29.5,40.0,43.1,0.8,204,1,2023
NOR,6.0,1.0,MEDIUM,6.0,False,0 days 00:01:26.796000,0 days 00:00:28.380000,0 days 00:00:29.732000,0 days 00:00:28.684000,312.0,319.0,307.0,305.0,8.0,440.553,29.5,42.0,43.3,1.6,145,1,2023
NOR,7.0,1.0,MEDIUM,7.0,False,0 days 00:01:26.864000,0 days 00:00:28.360000,0 days 00:00:29.946000,0 days 00:00:28.558000,308.0,310.0,309.0,308.0,8.0,527.349,29.7,41.0,43.4,1.7,164,1,2023
NOR,8.0,1.0,MEDIUM,8.0,False,0 days 00:01:26.628000,0 days 00:00:28.271000,0 days 00:00:29.746000,0 days 00:00:28.611000,313.0,319.0,308.0,310.0,8.0,614.213,29.6,42.0,43.6,1.8,160,1,2023
NOR,9.0,1.0,MEDIUM,9.0,False,0 days 00:01:26.893000,0 days 00:00:28.208000,0 days 00:00:29.983000,0 days 00:00:28.702000,308.0,319.0,307.0,320.0,8.0,700.841,29.7,43.0,43.6,1.0,162,1,2023
NOR,10.0,1.0,MEDIUM,10.0,False,0 days 00:01:26.965000,0 days 00:00:28.292000,0 days 00:00:29.893000,0 days 00:00:28.780000,314.0,320.0,307.0,319.0,8.0,787.734,29.8,41.0,44.1,0.6,178,1,2023
NOR,11.0,1.0,MEDIUM,11.0,False,0 days 00:01:27.066000,0 days 00:00:28.224000,0 days 00:00:30.155000,0 days 00:00:28.687000,311.0,318.0,309.0,313.0,8.0,874.699,29.9,41.0,43.9,2.2,162,1,2023
NOR,12.0,1.0,MEDIUM,12.0,False,0 days 00:01:27.438000,0 days 00:00:28.308000,0 days 00:00:30.281000,0 days 00:00:28.849000,312.0,318.0,309.0,315.0,8.0,961.765,29.9,41.0,43.9,1.8,181,1,2023
NOR,13.0,1.0,MEDIUM,13.0,False,0 days 00:01:27.359000,0 days 00:00:28.176000,0 days 00:00:30.425000,0 days 00:00:28.758000,313.0,320.0,309.0,329.0,8.0,1049.203,29.8,41.0,43.1,1.2,172,1,2023
NOR,14.0,1.0,MEDIUM,14.0,False,0 days 00:01:27.478000,0 days 00:00:28.138000,0 days 00:00:30.447000,0 days 00:00:28.893000,311.0,322.0,310.0,339.0,8.0,1136.562,29.9,41.0,43.7,1.2,199,1,2023
NOR,15.0,1.0,MEDIUM,15.0,False,0 days 00:01:27.796000,0 days 00:00:28.418000,0 days 00:00:30.509000,0 days 00:00:28.869000,314.0,321.0,307.0,333.0,7.0,1224.04,30.0,42.0,43.7,2.0,258,1,2023
NOR,16.0,1.0,MEDIUM,16.0,False,0 days 00:01:27.199000,0 days 00:00:28.356000,0 days 00:00:30.068000,0 days 00:00:28.775000,314.0,318.0,309.0,313.0,7.0,1311.836,30.0,42.0,43.5,0.8,156,1,2023
