Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,Year
GAS,1.0,1.0,HARD,1.0,True,0 days 00:02:02.171000,,0 days 00:00:31.018000,0 days 00:00:53.708000,303.0,302.0,310.0,272.0,19.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
GIO,1.0,1.0,MEDIUM,1.0,True,0 days 00:02:09.159000,,0 days 00:00:49.153000,0 days 00:00:48.620000,325.0,216.0,,258.0,20.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
ALO,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:53.420000,,0 days 00:00:32.141000,0 days 00:00:48.782000,311.0,311.0,299.0,247.0,10.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
VER,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:39.532000,,0 days 00:00:30.226000,0 days 00:00:39.290000,321.0,314.0,227.0,282.0,3.0,0.0,28.8,35.4,44.9,0.3,261,126,2021
HAM,1.0,1.0,HARD,1.0,True,0 days 00:01:45.494000,,0 days 00:00:31.225000,0 days 00:00:44.203000,335.0,325.0,267.0,294.0,5.0,0.0,28.8,35.4,44.9,0.3,261,126,2021
MAZ,1.0,1.0,MEDIUM,1.0,True,0 days 00:02:01.117000,,0 days 00:00:33.077000,0 days 00:00:54.474000,338.0,337.0,279.0,241.0,18.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
MSC,1.0,1.0,MEDIUM,1.0,True,0 days 00:02:00.963000,,0 days 00:00:32.792000,0 days 00:00:54.197000,327.0,314.0,302.0,232.0,16.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
KUB,1.0,1.0,HARD,1.0,True,0 days 00:02:00.167000,,0 days 00:00:33.126000,0 days 00:00:53.665000,329.0,326.0,286.0,255.0,15.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
LEC,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:48.161000,,0 days 00:00:30.966000,0 days 00:00:45.865000,324.0,315.0,207.0,268.0,6.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
NOR,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:41.695000,,0 days 00:00:30.655000,0 days 00:00:40.863000,342.0,319.0,211.0,270.0,4.0,0.0,28.8,35.4,44.9,0.3,261,126,2021
BOT,1.0,1.0,HARD,1.0,True,0 days 00:02:01.031000,,0 days 00:00:32.869000,0 days 00:00:54.010000,316.0,323.0,314.0,236.0,17.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
VET,1.0,1.0,MEDIUM,3.0,False,0 days 00:01:58.083000,,0 days 00:00:33.451000,0 days 00:00:52.273000,329.0,325.0,298.0,246.0,13.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
RUS,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:58.146000,,0 days 00:00:33.055000,0 days 00:00:52.040000,302.0,325.0,304.0,239.0,14.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
STR,1.0,1.0,MEDIUM,3.0,False,0 days 00:01:51.426000,,0 days 00:00:31.965000,0 days 00:00:47.070000,324.0,309.0,286.0,258.0,9.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
SAI,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:49.405000,,0 days 00:00:31.684000,0 days 00:00:46.201000,335.0,313.0,251.0,276.0,7.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
LAT,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:56.194000,,0 days 00:00:32.859000,0 days 00:00:50.593000,306.0,328.0,306.0,241.0,12.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
TSU,1.0,1.0,MEDIUM,1.0,True,,,,,,,,,,0.0,28.8,35.4,44.9,0.3,261,126,2021
PER,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:50.352000,,0 days 00:00:31.553000,0 days 00:00:46.710000,334.0,321.0,257.0,272.0,8.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
RIC,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:37.656000,,0 days 00:00:29.470000,0 days 00:00:38.561000,314.0,303.0,256.0,287.0,1.0,0.0,28.8,35.4,44.9,0.3,261,126,2021
OCO,1.0,1.0,MEDIUM,1.0,True,0 days 00:01:54.990000,,0 days 00:00:32.532000,0 days 00:00:49.561000,322.0,317.0,297.0,242.0,11.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021
RIC,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:30.745000,0 days 00:00:32.860000,0 days 00:00:29.263000,0 days 00:00:28.622000,312.0,311.0,306.0,274.0,1.0,97.798,28.8,35.4,44.9,0.2,333,671,2021
VER,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:30.125000,0 days 00:00:32.329000,0 days 00:00:29.197000,0 days 00:00:28.599000,309.0,313.0,309.0,291.0,2.0,99.674,28.8,35.4,44.9,0.2,333,671,2021
NOR,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:30.131000,0 days 00:00:32.179000,0 days 00:00:29.369000,0 days 00:00:28.583000,315.0,313.0,311.0,280.0,3.0,101.837,28.8,35.4,44.9,0.2,333,671,2021
HAM,2.0,1.0,HARD,2.0,True,0 days 00:01:27.866000,0 days 00:00:30.756000,0 days 00:00:28.635000,0 days 00:00:28.475000,322.0,324.0,310.0,291.0,4.0,105.636,28.8,35.4,44.9,0.2,333,671,2021
LEC,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:27.990000,0 days 00:00:29.905000,0 days 00:00:29.180000,0 days 00:00:28.905000,310.0,311.0,303.0,304.0,5.0,108.303,28.8,35.4,44.9,0.2,333,71,2021
SAI,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:27.898000,0 days 00:00:29.321000,0 days 00:00:29.680000,0 days 00:00:28.897000,317.0,313.0,305.0,307.0,6.0,109.547,28.8,35.4,44.9,0.2,333,71,2021
PER,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:27.606000,0 days 00:00:29.036000,0 days 00:00:29.775000,0 days 00:00:28.795000,307.0,320.0,313.0,287.0,7.0,110.494,28.8,35.4,44.9,0.2,333,71,2021
STR,2.0,1.0,MEDIUM,4.0,False,0 days 00:01:27.987000,0 days 00:00:29.233000,0 days 00:00:29.875000,0 days 00:00:28.879000,306.0,306.0,307.0,321.0,8.0,111.568,28.8,35.4,44.9,0.2,333,71,2021
ALO,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:27.173000,0 days 00:00:28.204000,0 days 00:00:29.791000,0 days 00:00:29.178000,314.0,316.0,309.0,334.0,9.0,113.562,29.0,34.6,44.9,0.1,0,71,2021
OCO,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:27.158000,0 days 00:00:28.286000,0 days 00:00:29.735000,0 days 00:00:29.137000,309.0,313.0,306.0,335.0,10.0,115.132,29.0,34.6,44.9,0.1,0,71,2021
LAT,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:27.106000,0 days 00:00:28.373000,0 days 00:00:29.820000,0 days 00:00:28.913000,312.0,314.0,313.0,338.0,11.0,116.336,29.0,34.6,44.9,0.1,0,1,2021
VET,2.0,1.0,MEDIUM,4.0,False,0 days 00:01:27.568000,0 days 00:00:29.211000,0 days 00:00:29.574000,0 days 00:00:28.783000,302.0,302.0,306.0,328.0,12.0,118.225,29.0,34.6,44.9,0.1,0,1,2021
RUS,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:29.102000,0 days 00:00:29.348000,0 days 00:00:30.504000,0 days 00:00:29.250000,313.0,314.0,309.0,333.0,13.0,118.288,29.0,34.6,44.9,0.1,0,1,2021
KUB,2.0,1.0,HARD,2.0,True,0 days 00:01:28.892000,0 days 00:00:28.638000,0 days 00:00:30.532000,0 days 00:00:29.722000,318.0,327.0,307.0,322.0,14.0,120.309,29.0,34.6,44.9,0.1,0,1,2021
MSC,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:29.313000,0 days 00:00:29.057000,0 days 00:00:30.850000,0 days 00:00:29.406000,322.0,320.0,306.0,314.0,16.0,121.105,29.0,34.6,44.9,0.1,0,1,2021
BOT,2.0,1.0,HARD,2.0,True,0 days 00:01:28.071000,0 days 00:00:28.222000,0 days 00:00:30.373000,0 days 00:00:29.476000,320.0,322.0,316.0,339.0,15.0,121.173,29.0,34.6,44.9,0.1,0,1,2021
MAZ,2.0,1.0,MEDIUM,2.0,True,0 days 00:01:29.945000,0 days 00:00:28.967000,0 days 00:00:31.072000,0 days 00:00:29.906000,339.0,329.0,308.0,325.0,17.0,121.259,29.0,34.6,44.9,0.1,0,1,2021
GAS,2.0,1.0,HARD,2.0,True,0 days 00:01:29.005000,0 days 00:00:28.594000,0 days 00:00:30.877000,0 days 00:00:29.534000,308.0,316.0,320.0,319.0,18.0,122.313,29.0,34.6,44.9,0.1,0,1,2021
GIO,2.0,2.0,HARD,1.0,True,0 days 00:02:00.859000,0 days 00:01:01.903000,0 days 00:00:29.704000,0 days 00:00:29.252000,309.0,311.0,303.0,264.0,19.0,129.301,29.0,34.6,44.9,0.1,0,1,2021
