Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,Year,PitStopNextLap,LapsRemaining
ALO,1.0,1.0,2,1.0,1,2.5445355292611804,-0.27258607611040114,0.27875563464831754,4.5110368176666995,311.0,311.0,299.0,247.0,10.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021,0,52.0
ALO,2.0,1.0,2,2.0,1,-0.28292873806567204,-0.29005642564643375,-0.280016539084882,-0.19265193857183438,314.0,316.0,309.0,334.0,9.0,113.562,29.0,34.6,44.9,0.1,0,71,2021,0,51.0
ALO,3.0,1.0,2,3.0,1,-0.22745024156423072,-0.26227225529997217,-0.19299074521834964,-0.18857304095624305,311.0,313.0,305.0,322.0,9.0,200.735,29.2,34.1,44.8,0.2,221,1,2021,0,50.0
ALO,4.0,1.0,2,4.0,1,-0.220771276936873,-0.24164461367911347,-0.20630616723071546,-0.1837743378790767,310.0,312.0,304.0,321.0,9.0,288.423,29.2,33.8,45.0,0.3,160,1,2021,0,49.0
ALO,5.0,1.0,2,5.0,1,-0.256536055264015,-0.2717441315544475,-0.24054582383394096,-0.19457141980270073,309.0,315.0,304.0,320.0,9.0,376.173,28.9,32.5,45.2,0.2,83,1,2021,0,48.0
ALO,6.0,1.0,2,6.0,1,-0.22130990311649815,-0.2218589166142092,-0.2272304018215751,-0.18641362457151806,308.0,314.0,305.0,319.0,9.0,463.591,28.9,32.6,44.9,0.2,179,1,2021,0,47.0
ALO,7.0,1.0,2,7.0,1,-0.23380603048381304,-0.25069551765561304,-0.2357903159723819,-0.17273732080159407,310.0,314.0,304.0,317.0,9.0,551.336,28.7,32.8,44.5,0.2,243,1,2021,0,46.0
ALO,8.0,1.0,2,8.0,1,-0.22324895736315054,-0.2279630146448713,-0.22604152485618556,-0.18497401364836807,309.0,313.0,304.0,318.0,9.0,638.965,28.8,32.9,44.7,0.3,307,1,2021,0,45.0
ALO,9.0,1.0,2,9.0,1,-0.21107600570361104,-0.23090982059070803,-0.22342599553232823,-0.15714153580080287,311.0,314.0,302.0,320.0,9.0,726.692,29.0,32.9,44.0,0.3,235,1,2021,0,44.0
ALO,10.0,1.0,2,10.0,1,-0.22087900217279866,-0.21596530472253495,-0.22081046620847086,-0.19865031741829292,310.0,313.0,304.0,319.0,9.0,814.532,28.9,33.1,43.9,0.3,351,1,2021,0,43.0
ALO,11.0,1.0,2,11.0,1,-0.24554808119965302,-0.24038169684518332,-0.27454770504408904,-0.1715376450323027,311.0,313.0,305.0,319.0,9.0,902.281,28.7,33.1,44.0,0.5,190,1,2021,0,42.0
ALO,12.0,1.0,2,12.0,1,-0.2577210328591925,-0.2542737820184149,-0.262658935390191,-0.19481135495655935,309.0,313.0,306.0,319.0,9.0,989.801,28.7,33.0,44.4,0.6,188,1,2021,0,41.0
ALO,13.0,1.0,2,13.0,1,-0.26935535833910534,-0.2565891295472865,-0.2735966034717769,-0.20704804780333422,311.0,314.0,307.0,318.0,9.0,1077.208,29.0,33.8,44.1,0.5,154,1,2021,0,40.0
ALO,14.0,1.0,2,14.0,1,-0.2672008536206032,-0.2498535730996594,-0.2747854804371673,-0.20872759388034196,311.0,313.0,306.0,319.0,9.0,1164.507,29.2,34.5,44.3,0.2,200,1,2021,0,39.0
ALO,15.0,1.0,2,15.0,1,-0.26289184418359735,-0.26227225529997217,-0.27312105268562126,-0.18665355972537667,312.0,315.0,306.0,320.0,9.0,1251.826,29.4,34.5,44.6,0.4,188,1,2021,0,38.0
ALO,16.0,1.0,2,16.0,1,-0.2618145918243471,-0.2517479483505546,-0.26004340606633364,-0.20944739934191695,310.0,314.0,302.0,321.0,9.0,1339.185,29.4,32.6,44.8,0.4,129,1,2021,0,37.0
ALO,17.0,1.0,2,17.0,1,-0.1097065586980647,-0.089252649051549,-0.12760251212191168,-0.18953278157167666,318.0,316.0,308.0,313.0,10.0,1426.554,29.4,32.2,44.8,0.2,218,1,2021,0,36.0
ALO,18.0,1.0,2,18.0,1,-0.22152535358834943,-0.25111648993358954,-0.19465517296989568,-0.18641362457151806,313.0,314.0,307.0,323.0,10.0,1515.335,29.2,32.5,45.2,0.7,167,1,2021,0,35.0
ALO,19.0,1.0,2,19.0,1,-0.26418454701469896,-0.267323922635692,-0.24934351337782515,-0.2077678532649092,312.0,313.0,306.0,322.0,10.0,1603.078,29.1,32.5,45.0,0.6,152,1,2021,1,34.0
ALO,20.0,1.0,2,20.0,1,-0.26935535833910534,-0.24943260082168292,-0.287149800877221,-0.20152953926459288,310.0,313.0,304.0,321.0,10.0,1690.425,29.3,33.4,44.9,0.6,154,1,2021,1,33.0
ALO,21.0,1.0,2,21.0,1,-0.2201249255213222,-0.22627912553296392,-0.22366377092540646,-0.18233472695592673,311.0,315.0,306.0,320.0,10.0,1777.724,29.3,33.9,44.9,0.6,151,1,2021,1,32.0
ALO,22.0,1.0,2,22.0,1,-0.22508028637387728,-0.22817350078385915,-0.2659877908932822,-0.14850387026190381,308.0,314.0,307.0,322.0,10.0,1865.48,29.3,34.1,45.0,0.4,193,1,2021,0,31.0
ALO,23.0,1.0,2,23.0,1,-0.21129145617546233,-0.22859447306183636,-0.23745474372392794,-0.14610451872332023,310.0,313.0,306.0,320.0,10.0,1953.19,29.2,33.8,44.6,0.4,231,1,2021,1,30.0
ALO,24.0,1.0,2,24.0,1,-0.1097065586980647,-0.2012312749933505,-0.23911917147547315,0.05064230744050347,311.0,317.0,310.0,321.0,10.0,2041.028,29.2,32.6,44.7,0.5,177,1,2021,1,29.0
ALO,25.0,1.0,2,25.0,1,0.24891075169668797,-0.23090982059070803,-0.20606839183763723,0.8498663049425731,314.0,315.0,307.0,335.0,10.0,2129.809,29.1,31.0,44.9,0.4,185,1,2021,1,28.0
ALO,26.0,2.0,3,1.0,1,4.814306250203643,5.578297129348727,1.700414709861425,2.472547750486401,209.0,214.0,203.0,262.0,11.0,2221.919,29.2,30.2,44.9,0.5,179,124,2021,0,27.0
ALO,27.0,2.0,3,2.0,1,3.1546912655411092,2.0699141646909305,2.2365982212522195,2.2342921427050872,184.0,211.0,176.0,245.0,8.0,2356.409,28.8,30.2,44.9,0.5,179,4,2021,0,26.0
ALO,28.0,2.0,3,3.0,1,-0.28287487544770923,4.512605807650718,5.090140713580786,5.419671245328164,110.0,225.0,180.0,162.0,8.0,2475.493,28.8,30.3,43.4,0.5,184,4,2021,0,25.0
ALO,29.0,2.0,3,4.0,1,-0.28287487544770923,3.5559463059486727,6.093315096976689,4.315489667272168,107.0,237.0,217.0,130.0,8.0,2631.443,28.7,32.1,43.7,0.1,150,4,2021,0,24.0
ALO,30.0,2.0,3,5.0,1,5.668782821561762,1.8427996207225037,6.556026011906394,3.7341267894734544,144.0,132.0,312.0,183.0,8.0,2782.485,29.0,28.5,44.9,0.3,162,41,2021,0,23.0
ALO,31.0,2.0,3,6.0,1,-0.16367690189655468,-0.31615670688098946,-0.0688719900316562,-0.11035418079843011,323.0,328.0,314.0,343.0,8.0,2924.907,29.3,27.6,44.8,0.4,152,1,2021,0,22.0
ALO,32.0,2.0,3,7.0,1,-0.24877983827740702,-0.26900781174759936,-0.25005683955705904,-0.17081783957072771,318.0,321.0,317.0,331.0,8.0,3013.187,29.3,28.1,44.7,0.5,151,12,2021,0,21.0
ALO,33.0,2.0,3,8.0,1,-0.2834673642452972,-0.27027072858152945,-0.2574278767424763,-0.23919935842034853,319.0,332.0,313.0,336.0,8.0,3100.677,29.4,28.0,44.6,0.3,152,1,2021,0,20.0
ALO,34.0,2.0,3,9.0,1,-0.3431471449478187,-0.3090001781553851,-0.3087873616473145,-0.2761493721145309,315.0,327.0,313.0,333.0,8.0,3187.845,29.4,28.1,44.4,0.1,247,1,2021,0,19.0
ALO,35.0,2.0,3,10.0,1,-0.3610295341113897,-0.3153147623250358,-0.31996280512197867,-0.29750360080792115,311.0,318.0,310.0,321.0,8.0,3274.459,29.4,27.8,44.1,0.1,0,1,2021,0,18.0
ALO,36.0,2.0,3,11.0,1,-0.33496002701750965,-0.26795538105265704,-0.3304249224174089,-0.28286755642256356,312.0,317.0,309.0,309.0,8.0,3360.907,29.4,27.8,43.9,0.5,157,1,2021,0,17.0
ALO,37.0,2.0,3,12.0,1,-0.357582326561786,-0.2934242038702477,-0.3537269109390485,-0.28070814003783856,311.0,319.0,311.0,315.0,8.0,3447.597,29.4,27.5,44.0,0.4,154,1,2021,0,16.0
ALO,38.0,2.0,3,13.0,1,-0.38354410841974196,-0.2978444127890024,-0.3924843000107556,-0.2943844438077626,312.0,318.0,311.0,319.0,8.0,3534.077,29.4,26.7,43.4,0.6,158,1,2021,0,15.0
ALO,39.0,2.0,3,14.0,1,-0.38515998695861897,-0.3047904553756182,-0.36585345598602476,-0.3169383482704451,311.0,317.0,310.0,320.0,8.0,3620.316,29.4,27.5,43.3,0.7,155,1,2021,0,14.0
ALO,40.0,2.0,3,15.0,1,-0.3974406638540841,-0.30310656626371163,-0.37013341306142816,-0.34189160427171034,313.0,318.0,310.0,323.0,8.0,3706.54,29.3,26.8,42.7,0.6,165,1,2021,0,13.0
ALO,41.0,2.0,3,16.0,1,-0.4235101709479657,-0.3001597603178749,-0.39700203247923727,-0.3762023312734505,311.0,319.0,311.0,319.0,8.0,3792.65,29.2,23.5,42.1,0.3,176,12,2021,0,12.0
ALO,42.0,2.0,3,17.0,1,-0.4074591107951214,-0.3136308732131292,-0.36846898530988215,-0.3538883619646266,314.0,318.0,311.0,321.0,8.0,3878.518,29.2,24.0,41.6,0.4,335,1,2021,0,11.0
ALO,43.0,2.0,3,18.0,1,-0.2821746614141956,-0.24501239190292742,-0.34516699678824253,-0.1765762832633268,310.0,317.0,310.0,323.0,8.0,3964.535,29.4,22.9,40.5,0.2,169,12,2021,0,10.0
ALO,44.0,2.0,3,19.0,1,1.6997542291363215,1.0252714568917576,2.019033736585889,0.40406678907381083,184.0,193.0,310.0,321.0,8.0,4051.715,29.4,25.4,40.4,0.4,235,2671,2021,0,9.0
ALO,45.0,2.0,3,20.0,1,-0.3474561543848245,-0.2675344087746806,-0.329711596238175,-0.31189971003942013,313.0,317.0,310.0,332.0,8.0,4157.293,29.4,25.7,39.6,0.4,206,1,2021,0,8.0
ALO,46.0,2.0,3,21.0,1,-0.3582286779773368,-0.25679961568627513,-0.35182470779442504,-0.32581594896320276,311.0,313.0,310.0,320.0,8.0,4243.867,29.4,25.5,39.4,0.3,188,1,2021,0,7.0
ALO,47.0,2.0,3,22.0,1,-0.3724484091194543,-0.24311801665203223,-0.3677556591306482,-0.35700751896478516,311.0,313.0,310.0,319.0,8.0,4330.341,29.4,26.8,39.0,0.5,176,1,2021,0,6.0
ALO,48.0,2.0,3,23.0,1,-0.38365183365566763,-0.28226843850386507,-0.3789311026053124,-0.3260558841170614,311.0,314.0,310.0,320.0,8.0,4416.683,29.5,26.6,38.8,0.3,201,1,2021,0,5.0
ALO,49.0,2.0,3,24.0,1,-0.4070282098514204,-0.2890039949514922,-0.4155485131393178,-0.333493873886669,312.0,314.0,308.0,319.0,8.0,4502.921,29.6,27.2,38.5,0.6,156,1,2021,0,4.0
ALO,50.0,2.0,3,25.0,1,-0.42426424759944065,-0.28858302267351577,-0.40294641730618586,-0.38507993196620816,311.0,316.0,310.0,321.0,8.0,4588.942,29.6,27.6,38.3,0.5,158,1,2021,0,3.0
ALO,51.0,2.0,3,26.0,1,-0.41898571103911014,-0.25974642163211187,-0.4255350796485924,-0.3834003858892004,312.0,316.0,312.0,320.0,8.0,4674.803,29.5,29.0,38.1,0.4,186,1,2021,0,2.0
ALO,52.0,2.0,3,27.0,1,-0.4661693643743152,-0.3268914999693949,-0.43908827705403564,-0.39827636542841577,316.0,318.0,311.0,324.0,8.0,4760.713,29.5,29.6,37.8,0.4,188,1,2021,0,1.0
ALO,53.0,2.0,3,28.0,1,-0.4619680801732366,-0.32099788807772145,-0.44336823412943904,-0.3913182459665244,311.0,328.0,307.0,319.0,8.0,4846.185,29.5,29.3,37.6,0.2,161,1,2021,0,0.0
BOT,1.0,1.0,3,1.0,1,3.3644322998873353,-0.27258607611040114,0.45185612080907095,5.765417802038004,316.0,323.0,314.0,236.0,17.0,0.0,28.8,35.4,44.9,0.3,261,1267,2021,0,52.0
BOT,2.0,1.0,3,2.0,1,-0.18619147620490692,-0.28626767514464335,-0.14163126031351056,-0.12115126272205498,320.0,322.0,316.0,339.0,15.0,121.173,29.0,34.6,44.9,0.1,0,1,2021,0,51.0
BOT,3.0,1.0,3,3.0,1,-0.3505801862266529,-0.2850047583107132,-0.3311382485966428,-0.29750360080792115,311.0,315.0,314.0,336.0,14.0,209.244,29.2,34.1,44.8,0.2,221,1,2021,0,50.0
BOT,4.0,1.0,3,4.0,1,-0.23682233708971728,-0.23069933445171942,-0.20915947194765108,-0.2291220819582995,317.0,321.0,319.0,322.0,14.0,295.789,29.0,32.9,45.2,0.4,244,1,2021,0,49.0
BOT,5.0,1.0,3,5.0,1,-0.36857030062614954,-0.2534318374624612,-0.369182311489116,-0.3351734199636776,311.0,313.0,310.0,327.0,13.0,383.39,28.9,32.5,45.2,0.2,83,1,2021,0,48.0
BOT,6.0,1.0,3,6.0,1,-0.3898998973393243,-0.2818474662258886,-0.38225995810840363,-0.337092901194544,312.0,314.0,312.0,321.0,13.0,469.768,28.9,32.6,44.9,0.2,179,1,2021,0,47.0
BOT,7.0,1.0,3,7.0,1,-0.3262342829075739,-0.2721651038324239,-0.3156828480465761,-0.27351008542208866,313.0,320.0,313.0,320.0,13.0,555.948,28.7,32.8,44.5,0.2,243,1,2021,0,46.0
BOT,8.0,1.0,3,8.0,1,-0.15602841014587077,-0.19639009379661854,-0.17349316298595693,-0.12427041972221271,321.0,329.0,312.0,334.0,13.0,642.719,28.8,32.9,44.7,0.3,307,1,2021,0,45.0
BOT,9.0,1.0,3,9.0,1,-0.3028579067118211,-0.26648197807973906,-0.2712188495409978,-0.2727902799605137,325.0,322.0,312.0,323.0,12.0,731.07,29.0,32.9,44.0,0.3,235,1,2021,0,44.0
