Driver,LapNumber,Stint,Compound,TyreLife,FreshTyre,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Position,RaceElapsedTime,AirTemp,Humidity,TrackTemp,WindSpeed,WindDirection,TrackStatus,PitStopNextLap,LapsRemaining
1,1.0,1.0,2,4.0,0,0.8393818877728996,-0.169957864884912,2.0187707533121975,0.01842942064667878,333.0,316.0,309.0,280.0,8.0,0.0,29.3,41.0,42.8,0.6,332,1,0,51.0
1,2.0,1.0,2,5.0,0,-0.19439569629975695,-0.17385427985333668,0.6379968004898255,-0.32066709637476387,321.0,311.0,309.0,325.0,6.0,90.934,29.2,41.0,42.5,1.5,4,1,0,50.0
1,3.0,1.0,2,6.0,0,-0.33036052648037423,-0.17595234945171995,-0.5306902731790298,-0.27589873598148273,309.0,314.0,308.0,320.0,6.0,178.001,29.2,40.0,43.1,1.0,189,1,0,49.0
1,4.0,1.0,2,7.0,0,-0.30088757760686796,-0.1930366304671226,-0.3163941557009949,-0.2130325277696429,312.0,315.0,309.0,317.0,6.0,264.579,29.4,39.0,43.2,1.3,23,1,0,48.0
1,5.0,1.0,2,8.0,0,-0.24972698710945893,-0.24548837042669364,-0.22581538439584645,0.08986829361468243,313.0,315.0,308.0,329.0,6.0,351.263,29.5,40.0,43.1,0.8,204,1,0,47.0
1,6.0,1.0,2,9.0,0,-0.3072826514190431,-0.2230090533011635,-0.4776685533906488,-0.07015478183364236,315.0,316.0,308.0,326.0,6.0,438.131,29.5,42.0,43.3,1.6,145,1,0,46.0
1,7.0,1.0,2,10.0,0,-0.27614142242062123,-0.20622449651410055,-0.36941587548937593,-0.0634871536899609,313.0,315.0,309.0,319.0,6.0,524.792,29.7,41.0,43.4,1.7,164,1,0,45.0
1,8.0,1.0,2,11.0,0,-0.3031119511067541,-0.19903111503393056,-0.5704565630203079,-0.09206270287716235,315.0,315.0,308.0,324.0,6.0,611.565,29.6,42.0,43.6,1.8,160,1,0,44.0
1,9.0,1.0,2,12.0,0,-0.2580683877340369,-0.20922173879750505,-0.31418491737647636,-0.01586123837795959,313.0,313.0,308.0,322.0,6.0,698.241,29.7,43.0,43.6,1.0,162,1,0,43.0
1,10.0,1.0,2,13.0,0,-0.12822058467810757,-0.18314573093188993,0.3419588650047161,0.06319778103995993,312.0,311.0,308.0,320.0,6.0,785.079,29.8,41.0,44.1,0.6,178,1,0,42.0
1,11.0,1.0,2,14.0,0,-0.10486466292929314,-0.18524380053027215,0.4546300195550181,0.10129851328955963,313.0,312.0,307.0,319.0,6.0,872.384,29.9,41.0,43.9,2.2,162,1,0,41.0
1,12.0,1.0,2,15.0,0,-0.0648259399313188,-0.1750531767666987,0.5606734591317724,0.16035464827644152,314.0,313.0,308.0,324.0,6.0,959.773,29.9,41.0,43.9,1.8,181,1,0,40.0
1,13.0,1.0,2,16.0,0,-0.025065263620831703,-0.13369123325572235,0.5297441225885527,0.17845249609500358,313.0,314.0,308.0,320.0,6.0,1047.306,29.8,41.0,43.1,1.2,172,1,1,39.0
1,14.0,1.0,2,17.0,0,-0.011997069308994173,-0.12260143680712766,0.7374125250930401,0.09844095837083948,313.0,311.0,308.0,321.0,6.0,1134.982,29.9,41.0,43.7,1.2,199,1,1,38.0
1,15.0,1.0,2,18.0,0,1.2609006660015594,-0.10701577693342673,0.8235728197491593,4.372390598469774,316.0,314.0,308.0,318.0,9.0,1222.705,30.0,42.0,43.7,2.0,258,1,1,37.0
1,16.0,2.0,3,4.0,0,5.516127171286112,5.898858310551603,0.09452417265894289,0.1774999777887624,321.0,306.0,309.0,283.0,13.0,1315.006,30.0,42.0,43.5,0.8,156,1,0,36.0
1,17.0,2.0,3,5.0,0,-0.18883476255003961,-0.21461677490763256,-0.30976644072744725,0.23655611277564428,314.0,310.0,307.0,317.0,13.0,1422.611,29.9,41.0,43.7,1.7,0,1,0,35.0
1,18.0,2.0,3,6.0,0,-0.2427758199223093,-0.1837451793885704,-0.4754593150661303,0.025097048790360246,313.0,310.0,308.0,314.0,13.0,1509.698,29.8,39.0,43.5,1.5,268,1,0,34.0
1,19.0,2.0,3,7.0,0,-0.1273864446156537,-0.12200198835044719,0.030456261247985027,0.0060466826655604005,312.0,311.0,308.0,319.0,13.0,1596.591,29.8,40.0,43.6,1.2,158,1,0,33.0
1,20.0,2.0,3,8.0,0,-0.25389768742174396,-0.18614297321529338,-0.18383985623004998,-0.13111595343300322,315.0,316.0,309.0,322.0,12.0,1683.899,29.9,40.0,44.3,0.8,201,1,0,32.0
1,21.0,2.0,3,9.0,0,-0.3239654526681991,-0.22930326209631224,-0.3517419688932437,-0.16159653923268366,317.0,318.0,310.0,320.0,12.0,1770.752,30.0,39.0,44.3,1.2,82,1,0,31.0
1,22.0,2.0,3,10.0,0,-0.2594586211714653,-0.2287038136396307,-0.06675022503071103,-0.06539219030243987,315.0,315.0,312.0,326.0,11.0,1857.353,30.0,39.0,44.0,1.3,145,1,0,30.0
1,23.0,2.0,3,11.0,0,-0.23721488617259195,-0.22660574404124847,-0.05791327173264489,0.00033157282812010805,316.0,313.0,309.0,334.0,9.0,1944.186,29.9,41.0,43.7,1.3,178,1,0,29.0
1,24.0,2.0,3,12.0,0,-0.28309258960776695,-0.20592477228576084,-0.2589539592635846,-0.13587854496420235,314.0,315.0,309.0,322.0,8.0,2031.099,29.9,41.0,43.6,1.5,210,1,0,28.0
1,25.0,2.0,3,13.0,0,-0.24138558648488095,-0.19543442429384664,-0.29430177245583344,-0.011098646846760476,316.0,315.0,308.0,319.0,7.0,2117.847,29.9,41.0,43.5,1.7,177,1,0,27.0
1,26.0,2.0,3,14.0,0,-0.19940053667450375,-0.1912382850970801,-0.22802462272036494,0.09082081192092022,313.0,313.0,307.0,322.0,7.0,2204.745,29.8,40.0,43.6,1.6,156,1,0,26.0
1,27.0,2.0,3,15.0,0,-0.28670719654508536,-0.22360850175784397,-0.5130163665828976,0.017476902340440983,315.0,316.0,307.0,324.0,7.0,2291.794,29.9,39.0,43.4,1.7,153,1,0,25.0
1,28.0,2.0,3,16.0,0,-0.20635170386165338,-0.16186531071972074,-0.3340680622971193,0.019381938952919953,314.0,313.0,307.0,323.0,6.0,2378.529,29.9,41.0,43.0,1.2,174,1,0,24.0
1,29.0,2.0,3,17.0,0,-0.21941989817349092,-0.19243718201044213,-0.1993045245016559,0.01366682911547966,317.0,315.0,307.0,318.0,6.0,2465.553,29.9,41.0,43.3,0.8,112,1,0,23.0
1,30.0,2.0,3,18.0,0,-0.22970762561047176,-0.13369123325572235,-0.34290501559518544,-0.14635624633284175,314.0,313.0,308.0,323.0,6.0,2552.53,29.7,42.0,42.5,0.8,317,1,0,22.0
1,31.0,2.0,3,19.0,0,-0.28670719654508536,-0.16126586226304027,-0.28988329580680433,-0.2768512542877239,316.0,313.0,308.0,317.0,6.0,2639.47,29.7,41.0,42.5,1.2,190,1,0,21.0
1,32.0,2.0,3,20.0,0,-0.3709553428533191,-0.21311815376592977,-0.2920925341313228,-0.3997261157926868,314.0,312.0,309.0,324.0,6.0,2726.205,29.8,41.0,42.6,1.1,136,1,0,20.0
1,33.0,2.0,3,21.0,0,-0.3829113504152155,-0.1786498675067837,-0.7538233439551232,-0.3511476821744443,316.0,313.0,310.0,318.0,6.0,2812.637,29.9,41.0,42.6,1.1,174,1,0,19.0
1,34.0,2.0,3,22.0,0,-0.33008247979288696,-0.19393580315214384,-0.325231108999061,-0.30637932178116317,314.0,312.0,309.0,319.0,6.0,2899.026,29.8,42.0,42.5,1.5,164,1,0,18.0
1,35.0,2.0,3,23.0,0,-0.33953606716741,-0.18314573093188993,-0.3230218706745425,-0.3740081215242055,316.0,315.0,309.0,319.0,6.0,2985.605,29.8,41.0,42.6,0.8,232,1,0,17.0
1,36.0,2.0,3,24.0,0,-0.21830771142354982,-0.10491770733504346,-0.018146981891359076,-0.3387649441933259,314.0,313.0,308.0,322.0,6.0,3072.15,29.8,41.0,42.6,1.8,139,1,0,16.0
1,37.0,2.0,3,25.0,0,-0.2600147145464358,-0.13998544205087107,-0.11093499152102598,-0.3301922794371655,316.0,313.0,309.0,318.0,6.0,3159.131,30.0,43.0,42.5,1.8,208,1,0,15.0
1,38.0,2.0,3,26.0,0,-0.11014754999152324,-0.06385548805240895,0.1453366541228055,-0.16921668568260292,314.0,312.0,309.0,331.0,6.0,3245.962,30.1,41.0,42.5,1.5,171,1,0,14.0
1,39.0,2.0,3,27.0,0,-0.2680780684835305,-0.1681595195148695,0.15196436909635314,-0.38162826797412475,318.0,314.0,309.0,318.0,6.0,3333.332,30.0,40.0,42.8,1.1,145,1,0,13.0
1,40.0,2.0,3,28.0,0,-0.33202880660528983,-0.20382670268737757,-0.01593774356684843,-0.4149664086925253,315.0,312.0,309.0,322.0,6.0,3420.134,30.0,40.0,42.6,1.3,168,1,0,12.0
